      48
   0.4712559E-01 -0.3871132E-07
   0.4926084E-01 -0.8062713E-08
   0.5457628E-01  0.7952367E-08
   0.6178365E-01  0.1047402E-07
   0.6988925E-01  0.9402006E-08
   0.7859620E-01  0.1048690E-07
   0.8751512E-01  0.8458740E-08
   0.8705623E-01 -0.1104015E-02
   0.8584260E-01 -0.2612167E-02
   0.8467032E-01 -0.4719088E-02
   0.8363746E-01 -0.7120533E-02
   0.7461033E-01 -0.7802974E-02
   0.6530200E-01 -0.8121661E-02
   0.5518662E-01 -0.8623072E-02
   0.4402204E-01 -0.9551704E-02
   0.3204900E-01 -0.1227460E-01
   0.1976381E-01 -0.1684502E-01
   0.8863722E-02 -0.2256480E-01
   0.1731685E-07 -0.2518136E-01
   0.5195305E-07 -0.2420711E-01
   0.6197720E-07 -0.2322681E-01
   0.7062533E-07 -0.2230968E-01
   0.9105255E-07 -0.2144463E-01
   0.8207502E-07 -0.1795988E-01
   0.1403008E-01 -0.1822509E-01
   0.2713993E-01 -0.1401006E-01
   0.3752479E-01 -0.9210749E-02
   0.4410636E-01 -0.4215665E-02
   0.1076758E-01 -0.2090349E-01
   0.8787035E-02 -0.2037894E-01
   0.8827040E-02 -0.1955166E-01
   0.1642208E-01 -0.1626989E-01
   0.1868358E-01 -0.1505573E-01
   0.2288333E-01 -0.1262371E-01
   0.3722103E-01 -0.5256754E-02
   0.4426808E-01 -0.2011056E-02
   0.2855698E-01 -0.9545283E-02
   0.1743631E-01 -0.1659208E-01
   0.3511448E-01 -0.5773770E-02
   0.4741844E-01 -0.1630769E-02
   0.2669666E-01 -0.1146788E-01
   0.5546503E-01 -0.2239300E-02
   0.7709733E-01 -0.1813283E-02
   0.7343202E-01 -0.4603003E-02
   0.6087472E-01 -0.4985939E-02
   0.5101602E-01 -0.6099167E-02
   0.4116538E-01 -0.6057385E-02
   0.6661605E-01 -0.2146047E-02
